#Chr	Start	End	Sym...
chr1	1320001	1346000	MIR6808,DVL1,TAS1R3,CPTP,INTS11
chr1	2298001	2324000	MORN1,SKI
chr1	2496001	2536000	HES5,PANK4,PLCH2
chr1	3058001	3088000	PRDM16,LINC00982
chr1	3116001	3142000	MIR4251,PRDM16
chr1	3216001	3238000	PRDM16
chr1	8348001	8368000	RERE
chr1	18628001	18650000	PAX7
chr1	31752001	31772000	MIR4254,ADGRB2
chr1	44406001	44426000	RNF220
#Chr	Start	End	Sym...
chr22	19744947	19770946	TBX1
chr22	19966947	19992946	ARVCF,COMT
chr22	27784947	27810946	MN1
chr22	45958947	45978946	WNT7B
chr22	46058947	46092946	MIR3619,MIRLET7BHG,LOC642648
chr22	49948947	49972946	MIR6821,PIM3
chrX	24998479	25024478	ARX
chrX	40076479	40112478	BCOR
chrX	153766479	153788478	IDH3G,SRPK3,PLXNB3
chrX	153948479	153974478	TMEM187,HCFC1-AS1,HCFC1
